Variable	p_Enrich	p_Deplete	Inversion	p.Adj
Style	0.6183	0.3817	Petfal_09_01	0.883606557377049
Stem	0.6208	0.3792	Petfal_09_01	0.883606557377049
Stamen	0.7939	0.2061	Petfal_09_01	0.883606557377049
Ligule	0.6309	0.3691	Petfal_09_01	0.883606557377049
Pollen	0.8054	0.1946	Petfal_09_01	0.883606557377049
Corolla	0.7526	0.2474	Petfal_09_01	0.883606557377049
Bract	0.6481	0.3519	Petfal_09_01	0.883606557377049
Ovary	0.6671	0.3329	Petfal_07_01	0.883606557377049
Root	0.5086	0.4914	Petfal_07_01	0.883606557377049
Leaf	0.666	0.334	Petfal_07_01	0.883606557377049
Style	0.5005	0.4995	Petfal_07_01	0.883606557377049
Stem	0.5217	0.4783	Petfal_07_01	0.883606557377049
Stamen	0.9218	0.0782	Petfal_07_01	0.943017902813299
Ligule	0.5059	0.4941	Petfal_07_01	0.883606557377049
Pollen	0.8948	0.1052	Petfal_07_01	0.929662337662338
Corolla	0.6886	0.3114	Petfal_07_01	0.883606557377049
Bract	0.5622	0.4378	Petfal_07_01	0.883606557377049
Ovary	0.1912	0.8088	Petfal_06_01	0.883606557377049
Root	0.1038	0.8962	Petfal_06_01	0.883606557377049
Leaf	0.0899	0.9101	Petfal_06_01	0.883606557377049
Style	0.1652	0.8348	Petfal_06_01	0.883606557377049
Stem	0.0423	0.9577	Petfal_06_01	0.883606557377049
Stamen	0.2054	0.7946	Petfal_06_01	0.883606557377049
Ligule	0.0651	0.9349	Petfal_06_01	0.883606557377049
Pollen	0.4604	0.5396	Petfal_06_01	0.883606557377049
Corolla	0.2361	0.7639	Petfal_06_01	0.883606557377049
Bract	0.0931	0.9069	Petfal_06_01	0.883606557377049
Ovary	0.5844	0.4156	Petfal_05_01	0.883606557377049
Root	0.4346	0.5654	Petfal_05_01	0.883606557377049
Leaf	0.48	0.52	Petfal_05_01	0.883606557377049
Style	0.5143	0.4857	Petfal_05_01	0.883606557377049
Stem	0.4065	0.5935	Petfal_05_01	0.883606557377049
Stamen	0.7345	0.2655	Petfal_05_01	0.883606557377049
Ligule	0.52	0.48	Petfal_05_01	0.883606557377049
Pollen	0.8725	0.1275	Petfal_05_01	0.920844327176781
Corolla	0.5345	0.4655	Petfal_05_01	0.883606557377049
Bract	0.4417	0.5583	Petfal_05_01	0.883606557377049
Ovary	0.3034	0.6966	Petfal_01_01	0.883606557377049
Root	0.1669	0.8331	Petfal_01_01	0.883606557377049
Leaf	0.2793	0.7207	Petfal_01_01	0.883606557377049
Style	0.2733	0.7267	Petfal_01_01	0.883606557377049
Stem	0.2985	0.7015	Petfal_01_01	0.883606557377049
Stamen	0.4114	0.5886	Petfal_01_01	0.883606557377049
Ligule	0.2262	0.7738	Petfal_01_01	0.883606557377049
Pollen	0.6285	0.3715	Petfal_01_01	0.883606557377049
Corolla	0.2028	0.7972	Petfal_01_01	0.883606557377049
Bract	0.2048	0.7952	Petfal_01_01	0.883606557377049
Ovary	0.7832	0.2168	Arg_16_01	0.883606557377049
Root	0.7555	0.2445	Arg_16_01	0.883606557377049
Leaf	0.6757	0.3243	Arg_16_01	0.883606557377049
Style	0.6738	0.3262	Arg_16_01	0.883606557377049
Stem	0.6222	0.3778	Arg_16_01	0.883606557377049
Stamen	0.7977	0.2023	Arg_16_01	0.883606557377049
Ligule	0.6945	0.3055	Arg_16_01	0.883606557377049
Pollen	0.9076	0.0924	Arg_16_01	0.93425641025641
Corolla	0.5921	0.4079	Arg_16_01	0.883606557377049
Bract	0.7556	0.2444	Arg_16_01	0.883606557377049
Ovary	0.2553	0.7447	Arg_10_01	0.883606557377049
Root	0.1353	0.8647	Arg_10_01	0.883606557377049
Leaf	0.209	0.791	Arg_10_01	0.883606557377049
Style	0.1909	0.8091	Arg_10_01	0.883606557377049
Stem	0.1298	0.8702	Arg_10_01	0.883606557377049
Stamen	0.2049	0.7951	Arg_10_01	0.883606557377049
Ligule	0.1236	0.8764	Arg_10_01	0.883606557377049
Pollen	0.5271	0.4729	Arg_10_01	0.883606557377049
Corolla	0.2155	0.7845	Arg_10_01	0.883606557377049
Bract	0.192	0.808	Arg_10_01	0.883606557377049
Ovary	0.1187	0.8813	Arg_06_01	0.883606557377049
Root	0.0856	0.9144	Arg_06_01	0.883606557377049
Leaf	0.0674	0.9326	Arg_06_01	0.883606557377049
Style	0.1823	0.8177	Arg_06_01	0.883606557377049
Stem	0.0993	0.9007	Arg_06_01	0.883606557377049
Stamen	0.2598	0.7402	Arg_06_01	0.883606557377049
Ligule	0.0418	0.9582	Arg_06_01	0.883606557377049
Pollen	0.5862	0.4138	Arg_06_01	0.883606557377049
Corolla	0.148	0.852	Arg_06_01	0.883606557377049
Bract	0.1631	0.8369	Arg_06_01	0.883606557377049
Ovary	0.8397	0.1603	Arg_03_02	0.902198391420912
Root	0.8694	0.1306	Arg_03_02	0.92
Leaf	0.9082	0.0918	Arg_03_02	0.93425641025641
Style	0.6443	0.3557	Arg_03_02	0.883606557377049
Stem	0.769	0.231	Arg_03_02	0.883606557377049
Stamen	0.9345	0.0655	Arg_03_02	0.953571428571429
Ligule	0.7583	0.2417	Arg_03_02	0.883606557377049
Pollen	0.8936	0.1064	Arg_03_02	0.929662337662338
Corolla	0.6689	0.3311	Arg_03_02	0.883606557377049
Bract	0.4413	0.5587	Arg_03_02	0.883606557377049
Ovary	0.9648	0.0352	Arg_03_01	0.981984732824427
Root	0.7991	0.2009	Arg_03_01	0.883606557377049
Leaf	0.7825	0.2175	Arg_03_01	0.883606557377049
Style	0.8814	0.1186	Arg_03_01	0.925354330708661
Stem	0.9083	0.0917	Arg_03_01	0.93425641025641
Stamen	0.9092	0.0908	Arg_03_01	0.93425641025641
Ligule	0.8851	0.1149	Arg_03_01	0.926806282722513
Pollen	0.9709	0.0291	Arg_03_01	0.982727272727273
Corolla	0.8342	0.1658	Arg_03_01	0.901837837837838
Bract	0.7931	0.2069	Arg_03_01	0.883606557377049
Ovary	0.217	0.783	Ann_17_01	0.883606557377049
Root	0.1998	0.8002	Ann_17_01	0.883606557377049
Leaf	0.1965	0.8035	Ann_17_01	0.883606557377049
Style	0.314	0.686	Ann_17_01	0.883606557377049
Stem	0.1486	0.8514	Ann_17_01	0.883606557377049
Stamen	0.3	0.7	Ann_17_01	0.883606557377049
Ligule	0.1213	0.8787	Ann_17_01	0.883606557377049
Pollen	0.583758375837584	0.416241624162416	Ann_17_01	0.883606557377049
Corolla	0.2778	0.7222	Ann_17_01	0.883606557377049
Bract	0.2004	0.7996	Ann_17_01	0.883606557377049
Ovary	0.6256	0.3744	Ann_16_02	0.883606557377049
Root	0.4386	0.5614	Ann_16_02	0.883606557377049
Leaf	0.582	0.418	Ann_16_02	0.883606557377049
Style	0.5712	0.4288	Ann_16_02	0.883606557377049
Stem	0.3372	0.6628	Ann_16_02	0.883606557377049
Stamen	0.6564	0.3436	Ann_16_02	0.883606557377049
Ligule	0.4738	0.5262	Ann_16_02	0.883606557377049
Pollen	0.9837	0.0163	Ann_16_02	0.991133501259446
Corolla	0.5472	0.4528	Ann_16_02	0.883606557377049
Bract	0.5199	0.4801	Ann_16_02	0.883606557377049
Ovary	0.2802	0.7198	Ann_16_01	0.883606557377049
Root	0.2039	0.7961	Ann_16_01	0.883606557377049
Leaf	0.5155	0.4845	Ann_16_01	0.883606557377049
Style	0.1107	0.8893	Ann_16_01	0.883606557377049
Stem	0.1911	0.8089	Ann_16_01	0.883606557377049
Stamen	0.1977	0.8023	Ann_16_01	0.883606557377049
Ligule	0.1669	0.8331	Ann_16_01	0.883606557377049
Pollen	0.7409	0.2591	Ann_16_01	0.883606557377049
Corolla	0.153	0.847	Ann_16_01	0.883606557377049
Bract	0.1406	0.8594	Ann_16_01	0.883606557377049
Ovary	0.7817	0.2183	Ann_15_01	0.883606557377049
Root	0.7694	0.2306	Ann_15_01	0.883606557377049
Leaf	0.7489	0.2511	Ann_15_01	0.883606557377049
Style	0.8564	0.1436	Ann_15_01	0.911063829787234
Stem	0.778	0.222	Ann_15_01	0.883606557377049
Stamen	0.7296	0.2704	Ann_15_01	0.883606557377049
Ligule	0.8011	0.1989	Ann_15_01	0.883606557377049
Pollen	0.6734	0.3266	Ann_15_01	0.883606557377049
Corolla	0.8791	0.1209	Ann_15_01	0.925354330708661
Bract	0.7707	0.2293	Ann_15_01	0.883606557377049
Ovary	0.5562	0.4438	Ann_14_02	0.883606557377049
Root	0.4923	0.5077	Ann_14_02	0.883606557377049
Leaf	0.7903	0.2097	Ann_14_02	0.883606557377049
Style	0.4688	0.5312	Ann_14_02	0.883606557377049
Stem	0.5439	0.4561	Ann_14_02	0.883606557377049
Stamen	0.7928	0.2072	Ann_14_02	0.883606557377049
Ligule	0.3558	0.6442	Ann_14_02	0.883606557377049
Pollen	0.9993	7e-04	Ann_14_02	0.9993
Corolla	0.4156	0.5844	Ann_14_02	0.883606557377049
Bract	0.456	0.544	Ann_14_02	0.883606557377049
Ovary	0.6408	0.3592	Ann_14_01	0.883606557377049
Root	0.5335	0.4665	Ann_14_01	0.883606557377049
Leaf	0.8071	0.1929	Ann_14_01	0.883606557377049
Style	0.6141	0.3859	Ann_14_01	0.883606557377049
Stem	0.6084	0.3916	Ann_14_01	0.883606557377049
Stamen	0.5652	0.4348	Ann_14_01	0.883606557377049
Ligule	0.6438	0.3562	Ann_14_01	0.883606557377049
Pollen	0.6292	0.3708	Ann_14_01	0.883606557377049
Corolla	0.6321	0.3679	Ann_14_01	0.883606557377049
Bract	0.6682	0.3318	Ann_14_01	0.883606557377049
Ovary	0.4584	0.5416	Ann_13_02	0.883606557377049
Root	0.4493	0.5507	Ann_13_02	0.883606557377049
Leaf	0.2589	0.7411	Ann_13_02	0.883606557377049
Style	0.448	0.552	Ann_13_02	0.883606557377049
